"","user","sentimentA"
"450","casper2900",1
"451","cassidy_raeee",-1
"452","cassiecabage",1
"453","cassieecamp",0
"454","cassiefabulous",-1
"455","castlemischief",1
"456","cataldokidd",0
"457","catidude",-2
"458","CatieTheRiveter",0
"459","CatlinNya",2
"460","catobrig",1
"461","CautiousViewer",0
"462","Cayt_",1
"463","CB2444",0
"464","CBCelestine444",0
"465","cbdmender",-1
"467","CBrenchley",1
"468","cbtexas98",-1
"470","Celebfacts2017",-1
"472","ceruleetheblue",0
"473","cfranefbe",1
"474","CGod___",1
"476","ch_fungus",-1
"477","Ch3apsh0t093",0
"479","chaela_jane",1
"482","Charfair",0
"483","charitabee",2
"484","CharleeTurner",0
"485","CharlesMartel19",0
"486","charliefiver",0
"487","CharlotteGore",1
"488","CharmianNeary",1
"490","ChaseMKE27",-1
"491","ChatlesHamilton",-1
"492","ChaunceyGosha",-1
"493","Cheena_cheena",-1
"494","cheertea12",-2
"495","cheesetrader1",-1
"496","Chef_BoyDedee",2
"497","chefgrace",1
"498","Chellee_MS",-1
"499","chelloway",1
"500","ChelsIsRight",-1
"501","Chelstastico",-1
"502","chenetlarose",0
"503","chernobylmega",1
"505","chevysmells",0
"506","chiara_milner",0
"507","Chickenwench",4
"508","Chimsom_BFAB",1
"509","chinagoth",0
"510","chiutfan",1
"511","ChodaBurlap",-1
"512","chokemecaI",-1
"513","ChongoTweetz",-1
"514","chris_asleson",2
"515","chris_sokja",-2
"516","Chris62838555",-1
"517","ChrisQuines",1
"518","ChristiaBrown",1
"519","christian__s93",1
"520","christygood",1
"521","chromolle",-1
"523","ChuckWilly62",2
"524","Chumash_Gardens",-1
"526","chuppytheguppy",1
"527","ChurnDashSlash",1
"528","CIAniggas",0
"529","cieeeerraaa",1
"530","CigarsGolf",0
"531","cindyjoy68",2
"532","cinphoria",6
"533","cIouttt",-1
"534","cirk162",1
"535","cjhillrwb",1
"536","CKeefeShea",0
"537","ckjbg",-2
"538","CKristofic",1
"539","CL4R4GU3RR4",0
"540","CLAIREJAMIES",0
"541","ClaireOfTarth",0
"542","ClassKing13",0
"543","claudistics",0
"544","CLeBlanc4Canada",2
"545","cleothevol",-1
"546","ClinkityClack",0
"547","ClintonTheLiar",-1
"548","ClothildeM__",1
"549","cmr4to",0
"550","cmsj",1
"551","CNRush",1
"552","Cody4140",-1
"553","coffee_an_books",0
"554","coIeat",1
"555","Comanchegyrl",1
"557","commonionisme",1
"558","CommonSense190",-1
"559","comparisons",-3
"560","Composed_Kemp",-1
"561","CompSciEmma",2
"562","comrademothman",1
"563","Conf_Electorate",1
"564","Confused_cop",-1
"565","congratsbot",1
"566","connorsayers4",1
"567","ConnorWJohnston",1
"570","copke46",-1
"571","CoralAnderson20",5
"572","corey_phx",0
"573","CoreyChadwick2",-2
"574","corina_marsh6",1
"575","corinaishere",-1
"576","Corsilanche",0
"577","corychase55",1
"578","CoryDymond",0
"579","countdown2march",-1
"580","countrymuso",1
"581","CountVonTeddy",0
"582","CovfefeTrump45",1
"583","Cow_Goes_M00",0
"584","CoyleGavin",0
"585","coyso_stephen",2
"586","cozyroyale",1
"587","CPBuffy19",0
"589","Cpt_Underpants",0
"590","cr0sscurrent",-2
"591","crabsword",-1
"592","CrackityJose",-1
"593","CraigWins613",1
"594","craner72",1
"595","Crangits",0
"596","cresbro",-2
"597","cricketcrocker",-1
"598","CrimsonThunder_",2
"600","crisjhine18",1
"601","CrispyCanadian",0
"602","CRL3600",-1
"603","CrossFitJS",-1
"604","crowblow",0
"605","crowcialism",0
"606","crownarmourer",0
"607","CrtlWalkDlt",0
"608","crucialdudekyle",0
"609","Crusader762",2
"610","CrusaderTrump",-1
"611","crying_birds",-1
"612","crystalnis",0
"613","CrystalPepsi",-1
"614","csmdc87",-1
"615","ctsotsoros",1
"616","cubanitaliachlc",1
"617","cuethenoise",-1
"618","curlyqueenalley",0
"619","CustomersRuinIt",1
"620","cutewitch772",3
"621","CVTheWriter",0
"622","Cyberactivity",0
"623","cynicpolitic",0
"624","D_Jelso",-1
"625","D3F4ULT3D",0
"626","d4rks4v4nt",1
"627","daboc24",1
"628","DaGeorge_818_0",2
"629","dak9554",0
"630","Dale_Sams",0
"631","DamionViscaino",-1
"632","dan_hewitson",1
"633","dan_lawless",0
"634","Dan_YouKnowWho",-1
"635","DangelAngello",-1
"636","dangYonZ",1
"637","Daniel_Munson98",-1
"638","DanielHynds",1
"639","danieltobin",1
"640","DaniTheDemon60",1
"641","dankedgelourd",2
"642","DankWhiteMale",-1
"643","DanMarsh01991",1
"644","dannybhoyo13",0
